Klient,Client_ID,Opiekun,Segment,Grupa_MVP,Status,Aktywny,Telefon,Telefon_dodatkowy,Email,Email_dodatkowe,Preferowana_forma_kontaktu,Zamówienia_gdzie,Dni_zamówień,Rytm_kontaktu,Miasto,Kraj,Notatki,Grupa_raw
IGUANA Cigarro,C106,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,227712372,,edyta.d@iguanacigars.pl,krzysztof.k@iguanacigars.pl,Sms,"SMS, Email",Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: Aleja Jana Pawła II 41 A lok. 15; 01-001; Warszawa; Poland | Info: Pełna nazwa: IGUANA GÓRSKI, KUREK SPÓŁKA KOMANDYTOWA
NIP: 1251380928
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Rabat  10%
Limit EULER 20 000 | Dodany: 19 paź 2022",5. WERYFIKACJA - ODEJDA
IGUANA Gdańsk,C107,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,227712372,,edyta.d@iguanacigars.pl,krzysztof.k@iguanacigars.pl,Sms,"SMS, Email",Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: Aleja Jana Pawła II 41 A lok. 15; 01-001; Warszawa; Poland | Info: Pełna nazwa: IGUANA GÓRSKI, KUREK SPÓŁKA KOMANDYTOWA
NIP: 1251380928
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Rabat  10%
Limit EULER 20 000 | Uwagi: wielopanelowa | Dodany: 19 lip 2022",5. WERYFIKACJA - ODEJDA
JOT OMA,C108,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,574690252,,zuza@janekpaszkowski.pl,hania@janekpaszkowski.pl,,,,,Warszawa,Poland,"Adres: ul. Franciszka Klimczaka 17 lok. 107; 02-797; Warszawa; Poland | Info: Pełna nazwa: J: BRAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 9512559376
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 3
Rabat (%): 0
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Ola - Menager | Notatka: Rabat  10%
LIMT EULER 20 000 | Dodany: 10 sty 2024",5. WERYFIKACJA - ODEJDA
JOT Wilanów,C109,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,667994378,574452333,zuza@janekpaszkowski.pl,asia@janekpaszkowski.pl,,,,,Warszawa,Poland,"Adres: ul. Franciszka Klimczaka 17 lok. 107; 02-797; Warszawa; Poland | Info: Pełna nazwa: J: BRAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 9512559376
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 3
Rabat (%): 0
Limit kredytowy: 0
Dodatkowe info (telefon): Zuzanna Federowicz - Współwłaściciel
Opis/Notatki z Bigin:
Kontakt: Joanna Paszkowska - menager | Notatka: Rabat  10%
LIMT EULER 20 000 | Dodany: 04 lip 2023",5. WERYFIKACJA - ODEJDA
JOT Żoliborz,C110,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,730086309,574452333,zuza@janekpaszkowski.pl,,,,,,Warszawa,Poland,"Adres: ul. Franciszka Klimczaka 17 lok. 107; 02-797; Warszawa; Poland | Info: Pełna nazwa: J: BRAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 9512559376
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 3
Rabat (%): 0
Limit kredytowy: 0
Dodatkowe info (telefon): Zuzana Fedorowska - Współwłaścicielk
Opis/Notatki z Bigin:
Kontakt: WiktoriaMenager | Notatka: Rabat  10%
LIMT EULER 20 000 | Dodany: 07 lip 2023",5. WERYFIKACJA - ODEJDA
Just like you,C111,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,571376071,,marun.spzoo@gmail.com,,Sms,Skalo,Wtorek,2x/miesiąc,Warszawa,Poland,"Adres: ul. Łucka 2/4/6 lok. 2 D; 00-845; Warszawa; Poland | Info: Pełna nazwa: MARUN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5273083418
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 7
Rabat (%): 20
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Rabat  20%
Limit EULER 20 000
SKONTO | Uwagi: pilnować płatności/1 przeterminowanie max | Dodany: 06 lut 2024",4. WERYFIKACJA - ZOSTANA
Kaizen S.C,C112,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,606650202,,kaizensushi.faktury@gmail.com,,,,,,Konstancin-Jeziorna,Poland,"Adres: ul. Świetlicowa 7/9 lok. C8; 05-520; Konstancin-Jeziorna; Poland | Info: Pełna nazwa: KAIZEN S.C.
NIP: 1231239233
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 0
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Rabat  0%

Limit EULER 20 000 | Dodany: 11 wrz 2018",5. WERYFIKACJA - ODEJDA
KALISKA 20,C113,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,500002349,,lanssniadaniekawaiwino@gmail.com,malgorzata.rojek@addallhoreca.pl,,,,,Warszawa,Poland,"Adres: ul. Sienna 59 lok. 4A; 00-820; Warszawa; Poland | Info: Pełna nazwa: JAMAKU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5273142865
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: brak ubez. Kuba Kubaszewski | Notatka: brak ubezieczenia 

zgłosić po 09.12.2025 roku.

KLIENT FAKTURA | Dodany: 28 lip 2025",5. WERYFIKACJA - ODEJDA
Kardamon,C114,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,,,swps.warszawa@kantynykardamon.pl,,Sms,SMS,Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: ul. Chodakowska 19 lok. 31; 03-815; Warszawa; Poland | Info: Pełna nazwa: KARDAMON KANTYNY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ WARSZAWA SPÓŁKA KOMANDYTOWA
NIP: 9512445738
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 18
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Rabat  18%
Limit EULER 20 000 | Dodany: 29 lis 2018",4. WERYFIKACJA - ZOSTANA
Królewska Kawa,C115,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,,,litwins.info@gmail.com,,Sms,SMS,Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: ul. Nowy Świat 1 lok. 1; 00-499; Warszawa; Poland | Info: Pełna nazwa: LITWINS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5833466452
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 10
Rabat (%): 15
Limit kredytowy: 2500
Opis/Notatki z Bigin:
Kontakt: brak ubezp. | Uwagi: pilnować płatności/ poszerzanie współpracy | Dodany: 20 lis 2024",5. WERYFIKACJA - ODEJDA
Kubicz Salon fryzjerski,C116,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,,,kubiczplace@gmail.com,,Sms,SMS,Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: Białobrzeska 32; 02-341; Warszawa; Poland | Info: Pełna nazwa: Kubicz Place Daniel Kubicz
NIP: 6572468316
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Gotówka
Termin płatności (dni): 0
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Rabat  10% | Dodany: 09 lis 2016",4. WERYFIKACJA - ZOSTANA
Kuma no teburu,C117,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,530534227,600500852,kontakt@kumanoteburu.pl,,Sms,Skalo,Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: Michała Kleofasa Ogińskiego 11/9; 03-318; Warszawa; Poland | Info: Pełna nazwa: Lumi Food Sp. z o.o.
NIP: 5243047487
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Przedpłata
Termin płatności (dni): 0
Rabat (%): 0
Limit kredytowy: 0
Opis/Notatki z Bigin:
Dodany: 16 paź 2025",4. WERYFIKACJA - ZOSTANA
LANS SIENNA,C118,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,500002349,,lanssniadaniekawaiwino@gmail.com,malgorzata.rojek@addallhoreca.pl,Sms,Skalo,Środa,2x/tydzień,Warszawa,Poland,"Adres: ul. Sienna 59 lok. 4a; 00-820; Warszawa; Poland | Info: Pełna nazwa: AGENCJA UBEZPIECZENIOWA Małgorzata Kubuszewska
NIP: 1230033512
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Kuba Kubaszewski | Notatka: Limit EULER 20 000
KLIENT FAKTURA | Dodany: 29 lis 2024",4. WERYFIKACJA - ZOSTANA
Legia Sports Bar,C119,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,662932222,,patryk.szewczyk@foodbowl.pl,,,,,,Warszawa,Poland,"Adres: ul. Łazienkowska 3; 00-449; Warszawa; Poland | Info: Pełna nazwa: WAWA EVENTS & HOSPITALITY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5272880845
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Patryk Szewczyk- brak ubezp. | Notatka: BRAK UBEZPIECZENIA
zgłosić po 04.12.2025 | Dodany: 28 sie 2025",5. WERYFIKACJA - ODEJDA
Łochów,C120,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,,,mioduszewska.beata65@wp.pl,,Sms,SMS,Środa,1x/miesiąc,Łochów,Poland,"Adres: 1-go Maja 2; 07-130; Łochów; Poland | Info: Pełna nazwa: Pizzeria Restauracja B.J. Mioduszewscy
NIP: 8241485486
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Rabat  10%

Limit EULER 20 000 | Uwagi: Czasem można wysyłki do ustalenia z kierowcami i magazynem | Dodany: 07 paź 2015",5. WERYFIKACJA - ODEJDA
LOsteria,C121,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,791751171,,losteria.piaseczno@losteria.pl,"anastazja.olszanska@losteria.pl, malgorzata.rojek@addallhoreca.pl",Sms,Skalo,Środa,2x/tydzień,Bielawa,Poland,"Adres: ul. Rembrandta 10; 05-520; Bielawa; Poland | Info: Pełna nazwa: L`OSTERIA POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 1231524005
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Paulina Jeżewska | Notatka: Limit EULER 20 000 | Dodany: 28 paź 2024",4. WERYFIKACJA - ZOSTANA
Magu Sushi,C122,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,725646118,,sushimagu@gmail.com,,,,,,MARKI,Poland,"Adres: ul. JAGIEŁŁY 22/1; 05-270; MARKI; Poland | Info: Pełna nazwa: MAGU SUSHI WIOLETA KUFEL
NIP: 5361897534
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Gotówka
Termin płatności (dni): 14
Rabat (%): 20
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Maciej Kufel - Osoba odpowiedzialna za zamów. | Notatka: Rabat  20%

Limit EULER 20 000 | Dodany: 19 lip 2021",5. WERYFIKACJA - ODEJDA
Magu Sushi Instalatorowa,C123,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,725646118,,sushimagu@gmail.com,,,,,,MARKI,Poland,"Adres: ul. JAGIEŁŁY 22/1; 05-270; MARKI; Poland | Info: Pełna nazwa: MAGU SUSHI WIOLETA KUFEL
NIP: 5361897534
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 20
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Maciej Kufel - Osoba odpowiedzialna za zamów. | Notatka: Rabat  20%

Limit EULER 20 000 | Dodany: 09 lip 2025",5. WERYFIKACJA - ODEJDA
Manna,C124,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,575435511,728956662,anna@manna68.pl,,Sms,Skalo,Środa,2x/tydzień,Gniewowo,Poland,"Adres: Cysterów 31; 84-206; Gniewowo; Poland | Info: Pełna nazwa: Restauracja Manna Spółka z ograniczoną odpowiedzialnością
NIP: 5882508475
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 7
Rabat (%): 18
Limit kredytowy: 3500
Dodatkowe info (telefon): Justyna Świstakmenager
Opis/Notatki z Bigin:
Kontakt: brak ubezpiecznie  Marcin Dziekoński  - Menager - os składająca zamów. | Notatka: Anna Orzech właścicielka
Rabat  18%
SKONTO | Uwagi: Clinex Grill 5l prośba aby był na stanie | Dodany: 16 sie 2024",4. WERYFIKACJA - ZOSTANA
Margariter Ros,C125,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,728256447,,margaritabar.pl@gmail.com,,Sms,SMS,Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: ul. Chmielna 7/9; 00-021; Warszawa; Poland | Info: Pełna nazwa: MDG SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5223216099
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 18
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Kseniya Gatsuro  brak ubezp | Notatka: brak ubezpieczenia | Uwagi: Pilnowac mocno płatnosci | Dodany: 25 cze 2025",5. WERYFIKACJA - ODEJDA
Nakama Izakaya,C126,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,519655331,,beatapuchta72@gmail.com,,Sms,SMS,Wtorek,2x/miesiąc,Warszawa,Poland,"Adres: ul. Sokratesa 2A lok. U1; 01-909; Warszawa; Poland | Info: Pełna nazwa: wawaKitchen Kamil Wawak
NIP: 1181883422
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Beata - Włascicielka | Notatka: Rabat  15%

Limit EULER 20 000 | Uwagi: dostawa do  13 | Dodany: 13 maj 2024",5. WERYFIKACJA - ODEJDA
Negroni Centrale,C127,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,,,negronicentrale@gmail.com,,Sms,Skalo,Czwartek,1x/tydzień,Warszawa,Poland,"Adres: Poznańska 13; 00-680; Warszawa; Poland | Info: Pełna nazwa: KLUBOKAWIARNIA TREMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 7011048818
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 18
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: brak ubezp. | Notatka: Rabat  18%
FV ZBIORCZA | Uwagi: Papier pakowy - z nadrukiem | Dodany: 07 sie 2024",4. WERYFIKACJA - ZOSTANA
No Tu Olideli,C128,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,667994378,,olidelivegan@gmail.com,,Sms,"SMS, Email",Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: ul. ks. Jerzego Popiełuszki 19/21/325; 01-595; Warszawa; Poland | Info: Pełna nazwa: NO TU Sp. z o.o.
NIP: 5253040920
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: brak ubezp. | Notatka: Brak ubezpieczenia zgłosić po 28.03.2025 | Dodany: 19 maj 2025",4. WERYFIKACJA - ZOSTANA
Palermo Pruszków,C129,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,531375927,,ristorantepalermo.pruszkow@gmail.com,,,,,,Pruszków,Poland,"Adres: ul. Pańska 31; 05-800; Pruszków; Poland | Info: Pełna nazwa: `S.K` Sebastian Karwan
NIP: 5342552426
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 20
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Karolina Kołtuńska | Notatka: kod do wejscią 2080#
LIMIT EULER 20 000 | Dodany: 14 paź 2025",5. WERYFIKACJA - ODEJDA
Pizzeria Italiana,C130,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,570924577,,weronikanatalia2017@gmail.com,natalianigowska@gmail.com,,,,,Warszawa,Poland,"Adres: ul. Powstańców Śląskich 104 lok. 213; 01-381; Warszawa; Poland | Info: Pełna nazwa: PULCINELLA PIZZERIA ITALIANA NATALIA NIGOWSKA
NIP: 5711630703
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 0
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: NataliaMenager brak ubezp. | Notatka: ZGŁOSZONA SZKODA WINDYKACYJNA 
( Rabat  10% stary )


Ubezpieczenie było do 12.09.2025 później odmowa | Dodany: 16 maj 2024",5. WERYFIKACJA - ODEJDA
PrimeCut,C131,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,,,reservation@primecut.pl,,Sms,SMS,Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: ul. Twarda 18; 00-105; Warszawa; Poland | Info: Pełna nazwa: PRIME CUT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5252825984
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Rabat  10%

Limit EULER 20 000 | Uwagi: Tuszę zamaiamy dla nich jak złożą zamówienie | Dodany: 17 maj 2018",5. WERYFIKACJA - ODEJDA
Przedszkole Ciekawi Świata,C132,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,608659604,,przedszkole@ciekawiswiata.pl,,Sms,Skalo,Wtorek,1x/miesiąc,Leszno,Poland,"Adres: Julinek 1; 05-084; Leszno; Poland | Info: Pełna nazwa: MURATOR IBS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5260200046
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Justyna Zięba - Osoba odpowiedzialna za zamów. | Notatka: Rabat  10%
Limit EULER 20 000 | Uwagi: Wieksze zamówienie tylko na koniec roku | Dodany: 07 paź 2015",5. WERYFIKACJA - ODEJDA
Sake Izakaya,C133,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,881206199,,thekushi@vp.pl,,Sms,Skalo,Wtorek,2x/miesiąc,Warszawa,Poland,"Adres: Fort Służew 1b/k6; 02-797; Warszawa; Poland | Info: Pełna nazwa: ANDRZEJ KRÓL FOOD
NIP: 7342961284
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Gotówka
Termin płatności (dni): 0
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Paulina  - Menager | Notatka: Rabat  10%

Limit EULER 20 000 | Uwagi: Zabierać terminal | Dodany: 07 wrz 2021",5. WERYFIKACJA - ODEJDA
SERDECZNY BAR MLECZNY,C134,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,880891706,,marketing@restauracjadifferent.pl,malgorzata.rojek@addallhoreca.pl,Sms,SMS,Środa,2x/tydzień,Warszawa,Poland,"Adres: Aleje Jerozolimskie 123A; 02-017; Warszawa; Poland | Info: Pełna nazwa: FUNDACJA POMOCY RODZINIE `CZŁOWIEK W POTRZEBIE`
NIP: 5213361463
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 7
Rabat (%): 18
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: brak ubezp. | Notatka: BRAK UBEZPIECZENIA
FV ZBIORCZA
SKONTO | Dodany: 31 mar 2025",4. WERYFIKACJA - ZOSTANA
Silk&Spicy,C135,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,,,francuska@silkandspicy.pl,,,,,,Warszawa,Poland,"Adres: ul. Władysława Lercha 14R; 02-992; Warszawa; Poland | Info: Pełna nazwa: ADLER BIS HANNA BRUSIKIEWICZ SPÓŁKA JAWNA
NIP: 5262736905
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 15
Limit kredytowy: 1700
Dodatkowe info (telefon): francuska@silkandspicy.pl
Dodatkowe info (komórka): francuska@silkandspicy.pl
Opis/Notatki z Bigin:
Kontakt: brak ubezp. | Notatka: Rabat  15% | Dodany: 24 cze 2022",5. WERYFIKACJA - ODEJDA
Silk&Spicy GDAŃSK,C136,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,505869904,,krogulagnieszka@gmail.com,,,,,,Warszawa,Poland,"Adres: ul. Żurawia 16; 00-515; Warszawa; Poland | Info: Pełna nazwa: RESTAURACJA THAI WOK SPÓŁKA CYWILNA
NIP: 7010337360
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Za pobraniem
Termin płatności (dni): 21
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Limit EULER 20 000 | Dodany: 16 cze 2023",5. WERYFIKACJA - ODEJDA
SKALO - Prime MOKOTÓW,C137,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,,,faktury@skalo.pl,,Sms,Skalo,Wtorek,1x/miesiąc,Konstancin-Jeziorna,Poland,"Adres: ul. Saneczkowa 12; 05-510; Konstancin-Jeziorna; Poland | Info: Pełna nazwa: SKALO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 1231538881
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 0
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: teoretycznie wt.-czw. od 13.30 | Dodany: 28 lut 2025",4. WERYFIKACJA - ZOSTANA
SKALO - Prime WALICÓW,C138,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,,,faktury@skalo.pl,,Sms,Skalo,Środa,2x/miesiąc,Konstancin-Jeziorna,Poland,"Adres: ul. Saneczkowa 12; 05-510; Konstancin-Jeziorna; Poland | Info: Pełna nazwa: SKALO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 1231538881
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 0
Limit kredytowy: 0
Opis/Notatki z Bigin:
Dodany: 28 lut 2025",4. WERYFIKACJA - ZOSTANA
SKALO - Prime WROCŁAW,C139,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,,,faktury@skalo.pl,,Sms,Skalo,Wtorek,1x/miesiąc,Konstancin-Jeziorna,Poland,"Adres: ul. Saneczkowa 12; 05-510; Konstancin-Jeziorna; Poland | Info: Pełna nazwa: SKALO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 1231538881
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 0
Limit kredytowy: 0
Opis/Notatki z Bigin:
Dodany: 14 sie 2025",5. WERYFIKACJA - ODEJDA
SKALO - Ten Sushi,C140,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,796027612,,faktury@skalo.pl,,,,,,Konstancin-Jeziorna,Poland,"Adres: ul. Saneczkowa 12; 05-510; Konstancin-Jeziorna; Poland | Info: Pełna nazwa: SKALO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 1231538881
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 0
Limit kredytowy: 0
Opis/Notatki z Bigin:
Dodany: 13 sie 2025",4. WERYFIKACJA - ZOSTANA
